It seems like your current system isn't supporting OpenSSL. Please make sure you have it up and running before you continue.;Leider scheint ihr System kein OpenSSL zu unterstützen. Dies ist aber dringend notwendig, um einen sicheren Betrieb zu gewähren.;
DoveADM error;DoveADM Fehler;
It seems like your current system isn't supporting doveadm. Please make sure you have it up and running before you continue.;Leider scheint ihr System kein DoveADM zu unterstützen. Dies ist aber dringend notwendig, um einen sicheren Betrieb zu gewähren.;
Maybe you are missing one of the following packages: <b>doveadm</b> / <b>dovecot-core</b> / <b>dovecot-common</b>;Eventuell fehlendes Paket: <b>doveadm</b> / <b>dovecot-core</b> / <b>dovecot-common</b>;
Everything is ready. Lets get started!;Alle soweit bereit;
Everything has ben setup and prepared for you. You can now start the installation process;Der Installation steht nun nichts mehr im Wege. Klicken Sie auf "Installation beginnen", um zu starten.;
Start the PostfixADM installation process;PostfixADM Installationsprozess starten;
This process will guide you through the next three installation steps.;In den nächsten drei Schritten werden sie Stück für Stück durch die einzelnen Installationsprozesse geführt.;
A basic installation just takes a few minutes. It should be completed what so ever.;Die Basisinstallation dauert im Durchschnitt nur wenige Minuten. Er sollte in jedem Fall vollendet werden.;
If you can't complete the setup for what ever reason, please make sure noone can reach your web root.;Sollte dies aus irgendwelchen Gründen nicht möglich sein, sollte diese Seite unter keinen Umständen öffentlich erreichbar sein.;
Für Tipps zur Installation oder allgemein bekannten Problemen gehen Sie bitte auf eine der folgenden Seiten:
Joust in case you need any help or tips, take a look at the official documentations:;Für Tipps zur Installation oder allgemein bekannten Problemen gehen Sie bitte auf eine der folgenden Seiten:;
Start installation;Installation beginnen;
Migration has ben successful;Migration erfolgreich abgeschlossen;
The main installation process has ben completed. Lets head over to the next few settings;Das wichtigste ist geschafft. Nun fehlen nur noch ein paar Kleinigkeiten und alles is fertig eingerichtet.;
Create a new super admin;Superadmin anlegen;
General settings;Allgemeine Einstellungen;
Database mapping;Datenbankmapping;
Complete;Fertigstellen;
Connection failed;Verbindungsfehler;
Warning: The provided database could not be connected.;Achtung es konnte keine Verbindung zur angegebenen Datenbank hergestellt werden;
Error code;Fehlercode;
Activate dubug mode;Debugmodus aktivieren;
App log level;Anwendungsloglevel;
Please choose;Bitte wählen;
App url;Anwendungsurl;
Database settings;Datenbank Einstellungen;
Database driver;Datenbanktreiber;
Database host;Datenbankserver;
Port;Port;
Database;Datenbank;
User;Benutzer;
Email driver;Emailtreiber;
Host;Server;
Username;Benutzername;
Email settings;Emaileinstellungen;
Email driver;Emailtreiber;
Encryption;Verschlüsselung;
Apply settings;Einstellungen übernehmen;
Retry;Erneut versuchen;
Installation has ben completed;Installation erfolgreich abgeschlossen;
That's ben it. PostfixADM is now ready to use. Go ahead and creat your first Mailboxes.;Jetzt ist alles fertig eingerichtet. Nun können Sie sich anmelden und ihre ersten Adressen / Domains oder ALiase anlegen.;
Please login;Bitte anmelden;
Login;Anmelden;
Database mapping has ben approved;Datenbankmapping erfolgreich geprüft;
The provided database mapping schema has ben approved and stored.;Das von Ihnen angegebene Datenbankmapping wurde erfolgreich geprüft.;
You can now continue and finish start the database migration process.;Jetzt können Sie die Installation abschließen und mit der Datenmigration beginnen.;
Please make sure you have a database backup in case something goes wrong.;Bitte achten Sie darauf ein Datenbackup für den Fall der Fälle bereit zu halten.;
Finish migration;Migration abschließen;
Join;Verweis;
Direct;Direkt;
Column;Spalte;
Create;Erstellen;
Identifier;Identifikator;
Value;Wert;
Table;Tabelle;
Active Flag;Active Flag;
Domain name;Domainname;
Mailbox mapping definition;Mailboxmapping definieren;
Domain mapping definition;Domainmapping definieren;
Alias mapping definition;Aliasmapping definieren;
No tabeles found;Keine Tabellen gefunden;
It seems like the given database doesn't contain any tables. So no mapping necessary.;Es konnten keine Tabellen zum mappen gefunden werden.;
Please create the required tables first or skip the mapping and create the default tables automatically.;Bitte legen zunächt die Tabellen an oder überspringen Sie diesen Schritt um die Tabellen automatisch zu erstellen.;
Create tables;Tabellen anlegen;
Apply mapping;Mapping übernehmen;
..well sorry but this page doesn't exists. You might want to go somewhere else.;..da muss ich dich enttäuschen. Diese Seite existiert nicht.;
..well sorry but something went wrong. You might want to go somewhere else.;..ja ..was soll ich sagen.. irgendetwas ist schief gegangen :/;
Update domain;Domain aktualisieren;
The domain is active and can be used;Domain ist aktiv und kann verwendet werden;
The domain name has to include the .tld and contain more then 5 characters.;Der Name der Domain inklusive TLD muss mindestens 5 Zeichen lang sein.;
Update domain;Domain aktualisieren;
Index of all existing domains;Übersicht aller verfügbaren Domains;
You might want to create a new domain first;Es wurden noch keine Domains angelegt;
You might want to create a new alias first;Es wurden noch keine Aliase angelegt;
Create new domain;Neue Domain anlegen;
Create domain;Domain anlegen;
Update alias;Alias aktualisieren;
Index of all existing alias mailboxes;Übersicht aller verfügbaren Aliase;
Sender name;Sendename;
Sender address;Sendeadresse;
Connection failed;Verbindungsaufbau fehlgeschlagen;
Error;Fehler;
This is just a test mail and generated by postfixADM.;Dies is nur eine Testnachricht versendet von postfixADM.;
Go ahead and delete this mail. It is no longer required for anything else.;Diese Mail wird nicht länger benötigt und kann jeder Zeit gelöscht werden.;
the modern Mail backend;das moderne Mailbackend;
